reseñas,IA,longitud
"El teléfono viene fatal embalado suelto por la caja sin ningún tipo de protección. El estado era excelente (en el anuncio), viene con la pantalla arañada, salud de batería al 85%, y con cámara frontal y pantalla de pésima calidad que no se corresponden con el original, una vergüenza. Desaconsejo la compra completamente, es una estafa.",0,336
"El iPhone venía en perfectas condiciones, bien embalado, con cable y cargador. Batería al 95% de vida. Mejor de lo esperado. Gracias!",0,133
"Producto entregado un día antes, en perfecto estado, batería al 99%, ¡fantástico!",0,81
"Teléfono prácticamente nuevo, batería al 94%. La pantalla ha sido reemplazada y el iPhone la reconoce como un componente no original, pero sin mayores problemas. Una excelente elección.",0,185
"Quiero señalar que lo compré hace 6 meses y que al caer por primera vez con la funda, se rompió el cristal trasero a la altura del bolsillo del pantalón, lo cual es muy extraño ya que mis amigos con el mismo modelo me han confirmado que es muy resistente y que, a pesar de muchas caídas, nunca se les ha roto. Ahora, después de 6 meses sin ninguna caída o golpe, se ha roto la pantalla delantera y ya no se pueden hacer llamadas normales. Obviamente, el vendedor no quiere hacer valer la garantía de un año porque se cayó antes. Entonces, ¿si ya hubiera cambiado el vidrio trasero sin decir nada, la garantía seguiría siendo válida? No lo recomiendo en absoluto, es mejor pagar un poco más y comprar uno nuevo para asegurarse de que no están utilizando piezas no originales, como creo que es mi caso, y que la garantía sea real, no como esta donde cualquier rasguño puede hacerla caducar inmediatamente.",0,903
"El estado de la batería es más del 80% (89%), aunque se descarga rápidamente. En general, es un buen teléfono. Se sabe que con Apple se gasta mucho y se obtiene menos.",0,167
"Teléfono sin un solo rasguño y batería al 87% de capacidad, para ser un reacondicionado no podría haber pedido algo mejor, incluso el color es precioso. De momento, muy satisfecho, en cualquier caso está garantizado por 1 año. 👍🏻😀",0,230
"15 días de uso y va de maravilla. Para ser reacondicionado está en perfecto estado. Pantalla perfecta, sin ningún rasguño y con 83% de Salud de la batería.",0,155
"La cámara no funciona bien no enfoca cuando usas el zoom, creo que también tiene un problema en el Bluetooth debido a que a veces se conecta a la radio del coche pero no sale el sonido y a veces sí además cuando tienes muchas aplicaciones abiertas el teléfono deja de funcionar la pantalla táctil y hay que apagarlo para poder usarlo he llamado a Amazon me han puesto en contacto con la marca y no se ha llegado a ninguna solución debido A que vivo en Huesca y aquí no hay ningún reparador oficial tengo que mandarlo a Zaragoza y quedarme sin teléfono unos días",0,561
"Reacondicionado etiquetado de “excelente”. El aspecto es de ser 100% nuevo. Ni a 30 cm ni con lupa a 3 cm es posible encontrarle imperfecciones. Funcionan bien todos los sensores, y también las cámaras, altavoz y micrófono. También el Face ID. Batería al 85%, por lo tanto, es más que probable que tenga todas sus piezas originales. El 3uTools así me lo confirma. Lo sabré a ciencia cierta cuando la renueve en Apple oficial (si encuentran alguna pieza no original, no te lo admiten, y además pagas el servicio por adelantado). No se le puede pedir más a un reacondicionado. Si fallara algo, editaré esta revisión, que estoy escribiendo con el propio iPhone 12 Pro una hora después de recibirlo, con las incomodidades propias de un usuario habitual de Android hasta ahora.A dos semanas de recibirlo estoy disfrutando de una muy buena experiencia, conociendo las virtudes del iOS, y las limitaciones del hardware de Apple respecto a mi Android, que perdono por su bajo precio como reacondicionado.A dos meses de usarlo: todo sigue perfectamente. Batería sigue al 85%. Sin duda alguna es un gran smartphone. Muy contento con la compra.",0,1133
"El móvil está perfecto, batería al 95% pero la duración es algo insuficiente para todo el día.",0,94
"El iPhone impecable y más barato que en otros lugares. Está nuevo solo que con otra caja.Lo único a criticar es que el cargador no funcionaba (pero tengamos en cuenta que por lo menos vino con uno, no como los de ahora que solo vienen con el cable) volvería a comprar reacondicionado sin problema. Compré el de condición excelente",0,330
"Teléfono en buen estado, la pantalla no parece original pero funciona perfectamente y los colores y el brillo funcionan perfectamente.El pedido tenía que llegar entre el 19de abril o 22 de abril y llegó el 18 de abril.No me fiaba mucho por las malas reseñas del vendedor pero ha ido todo bien.El teléfono no es perfecto, pero es que no es nuevo y es reacondicionado.Era el iPhone más barato de internet no sólo de amazon",0,420
"El teléfono presentaba algunas pequeñas picadas en la pantalla, y la batería al 85% (un uso de año y medio aprox), que para mí no representa la condición de ""Excelente"". Por lo demás está en perfecto estado.Algo caro para ser de segunda mano y en ese estado, pero al menos no da problemas.",0,289
"iPhone reacondicionado como nuevo, el único inconveniente es que no cambian la batería de fábrica. Recibí el teléfono con una capacidad de batería del 89%. Teniendo en cuenta que Apple considera que la batería está muerta al 80%. No deja un margen muy grande, pero bueno, el teléfono funciona correctamente, tiene una autonomía adecuada.",0,337
"El artículo estaba muy bien embalado y fue enviado muy rápido al día siguiente, el teléfono en sí venía con una salud de batería del 100%, no tenía marcas o rayones visibles en ningún lugar, de hecho, literalmente parecía como si hubiera sido sacado de la caja y vuelto a empaquetar ¡fantástico! ¡Vale totalmente la pena el dinero, ya que la cámara es increíble y el color dorado es asombroso también! Lo recomendaría también para juegos móviles, ya que a mi hijo le gusta jugar Roblox y otros juegos de la App Store, aún funciona muy bien y tiene una mejor duración de la batería que un iPad, también lo recomendaría y tranquilizaría a aquellos que estén pensando en comprar teléfonos casi nuevos o refurbished, ¡seguro que volveré a usarlo en el futuro!",0,755
"Me encanta todo acerca de este teléfono, que se veía como nuevo cuando fue entregado.",0,85
"Buen ordenador, lo hemos comprado para el niño como regalo de comunión y de momento va muy bien.",0,96
"Este producto procedente de Alemania, no cumple con las espectativas ni con las caracteristicas anunciadas.El vendedor garantiza que la bateria del portatil tiene una vida util del 80%, y oh sorpresa, la bateria está a cero y ni siquiera se carga. Aunque por suerte estos productos pueden devolverse, no se puede hacer perder el tiempo a la gente. Gestionando devoluciones innecesarias, y creando desconfianza en los productos reacondicionados.",0,444
"El producto está en perfectas condiciones,  funcionamiento correcto, apariencia perfecta.  El envío rápido y ha venido muy bien protegido. Excelente y recomendable",0,163
Acaba de llegar y la verdad es que esteticamente esta casi perfecto. Arranca muy rapido y todo bien. A ver con el uso como va.,0,126
"La verdad es que llevo tan solo un par de días con él pero ya tengo mis conclusiones y espero que a la larga vaya bien.En cuanto a rendimiento he de decir que va muy bien. Tenía un ordenador peor y necesitaba uno con bien de ram y algo más potente para poder usarlo con programas de diseño como Photoshop e Ilustrator de forma fluida así como compilar librerías con Visual Studio Code. Y todo muchas veces a la vez, con varias cosas abiertas, cosa que el otro no podía y con este lo estoy haciendo cómodamente.La batería me ha sorprendido muy gratamente porque el otro la tenía estropeada y tenía que tenerlo siempre enchufado, este aguante horas sin enchufar, lo que me da muchísima libertad.Lo que me hace bajarle la puntuación es el aspecto general:Al abrirlo ya no me ha gustado como estaba de rallado la tapa y la base; los tornillos están machacados de haberlo abierto varias veces y mal; tiene un golpe muy feo en el plástico junto a las teclas. Lo que hace que de ser un portátil muy chulo y de diseño, parezca que ha estado en una  guerra.Tampoco quiero ser excesivamente duro pero por ese precio hay el mismo ordenador pero mejor cuidado.Lo bueno es que lo necesito por el rendimiento más que por el aspecto y ese punto de momento va bien.A ver que tal va envejeciendo.",0,1279
La compra cubrió mis expectativas. Buenas calidad y precio.,0,59
"El ordenador funcional fenomenalmente. Viene incluso con algunos programas útiles y no presenta deterioro. El único pero es que en las características (antes de la compra) no se aclara las conexiones: si tiene hdmi, cuántos USB... Pero la relación calidad-precio es sin duda de cinco estrellas.",0,294
"Me llegó perfectamente embalado con envío muy rápido, sin defectos estéticos, ningún problema, fácil de instalar, rápido y efectivo. Precio muy competitivo y que valió mucho la pena. Estoy muy contenta, recomiendo al 100%.No hay nada que no me haya gustado, estoy alucinando todavía por la maravillosa elección que he tenido al comprarlo.",0,338
"El ordenador muy bueno y rápido, tiene 4 entradas USB 3.0 osea azules de alta velocidad y cuatro más negras que son 2.0 normales de todas las vida y dos más negras por la parte trasera también puedes conectarlo con VGA o Displaysport también trae una garantía de daños accidentales, el ordenador trae los componentes que dice en la descripción, un Intel Core i7 3770 16 de RAM memoria gráfica integrada y demás, estoy muy contento con el ordenador de los mejores ahora mismo en el mercado, me parece muy barato para lo que ofrece y lo recomiendo con el puedes hacer tus tareas y jugar muchísimos juegos de bajo recursos.",0,620
"El equipo funciona muy bien, unas características muy buenas con un precio muy muy asequible.Lo único malo que es que los puertos USB que tiene delante son todos de velocidad  baja, de esta manera si se quiere conectar un disco duro de USB 3.0 habria que enchufarlo en la parte trasera para que Windows pueda leerlo.También tuve problemas con el transporte del equipo, me llegó el paquete con un golpe y eso se tradujo en que el equipo no arrancaba y no funcionaba, pero VorPC me ofreció una solución muy buena al problema y ahora disfruto del equipo sin problemas.",0,565
"Ordenador como nuevo, prácticamente como salido de fábrica. Buen rendimiento y velocidad, y todo perfecto, solo enchufar y funcionando. Genial.",0,143
"Muy buen ordenador para trabajar.Core i7 3770 3ª generación. Rendimiento 7000 puntos en Passmark (a día de hoy); mi antiguo core 2 quad Q8400 no llegaba a 2000...Trae un montón de conexiones USB (2.0 y 3.0)Incorpora altavoces integrados que se oyen bastante bien.Lo mejor de todo:- Tiene 16 gb ram DDR3 dual channel.- Dos discos duros:  * 1 SSD SATA 3 ""go-infinity"" de 240 gB. Es un SSD normalito, da 500 mb/s reales en lectura secuencial, aunque es un poco lento en aleatoria 16 kB dando unos 100 mb/s.  * 1 HDD SATA 3 Toshiba de 500 gB, muy bueno.El SSD es nuevo (según el Speccy); el HDD no, pero tiene poco uso.- Tiene conexión VGA (además de HDMI y Displayport): genial porque puedo conectar directamente mi antiguo LCD HP L1908W que aún se ve estupendamente.- Conexiones PS2 (para ratones y teclados antiguos): pude aprovechar mi querido teclado!- Conexiones frontales para micrófono y auriculares.- Hace poco ruido.Rendimiento WEI en Windows 10 sobre 9,9 (puntuación máxima): la que podría ser perfectamente en un equipo más moderno:- Procesador y Memoria RAM: 8,9.- Gráficos de escritorio: 6,8.- Gráficos para juegos: 9,9.- Disco duro SSD: 7,65.En definitiva: una compra más que recomendable si buscas un equipo para trabajar.",0,1234
"""Mejor de lo que imaginaba. Curioso por ver el interior, impecable por el precio. Habrá que ver con el tiempo. Pequeño inconveniente con la entrega de Chronopost. Un agradecimiento a Simon de Cyberman.""",0,202
"El texto que ingresaste parece tener errores o estar incompleto. Por favor, proporcióname más contexto o información para poder brindarte una traducción precisa al español. ¡Estoy aquí para ayudarte!",0,199
"Tan contento con mi primera compra que después de unos pocos días compré otra. Algunos días antes compré un i5 y, al ver que funcionaba perfectamente, opté por otro PC, un i7, fantástico, muy rápido, silencioso y perfecto para el trabajo que debo realizar. Es una maravilla. ¡Lo recomiendo al 100%!",0,298
"Entrega, embalaje bien. El dispositivo cumple con la descripción. ¡Feliz de volver a comprar!",0,93
"Es la primera vez que compro un reacondicionado, tenía mis dudas por comentarios que he leído sobre lo que para algunos vendedores es excelente. En mi caso el teléfono ha venido sin ni un rasguño o marcas de desgaste. La batería con un 86% de salud bien, era otro de los puntos que me preocupaba. El envío rápido desde Italia y la garantía de renew de Amazon con 1 año. Veremos cómo pasa el tiempo.",0,398
"Esto es una tomadura de pelo. Llevo usando el teléfono durante 8 meses, sé perfectamente cómo funcionaba cuando lo recibí y cuál ha sido su comportamiento en los últimos meses. ¿Cómo voy a tener pruebas de que se apaga a las 6 horas de desconectarlo del cargador con la batería completa? ¿Lo grabo durante 5 horas a ver cuando se apaga? Simplemente lo saco del bolsillo y veo que está apagado. Intento encenderlo y no enciende y hasta que no vuelvo a casa y lo conecto al cargador no se puede volver a encender.",0,511
Bueno leí muchos comentarios malos pero bueno yo pedí un iPhone 12 mini en excelente condiciones y me vino 9/10 y con 96% y todo bien no tengo problema y bueno nada más que no viene caja y cargador original. Pero para mí 9/10 todo.,0,231
"iPhone 12 miniDe momento el móvil funciona muy bien.Me vino la batería al 90% de capacidad.Exteriorimente se ve muy bien. Solo tiene un pequeño rasguño en un borde apenas apreciable.Mi consejo: OJO AL VENDEDOR, mirad las valoraciones del vendedor. Hay algunos con muy malas. Yo lo compré en concreto a uno con buenas valoraciones y que además Amazon te garantiza 365 días para devolverlo, otros vendedores no tienen esa garantía de Amazon.",0,439
"Pedí al vendedor que estuviera bien de pantalla y batería, la pantalla tiene defectos y la batería al 82%... hay que cambiarla ya. Por 319 euros no veo buen precio",0,163
"Compré este iphone 12 mini para mi hija y tirando la casa por la ventana me decidí por uno en estado ""Excelente"".En otros productos, el estado ""Bueno"" ya es una garantía.Sin embargo, el iphone que recibí tenía desperfectos en varios sitios del lateral y la bateria llegaba a un 80%, aunque se supone que debe ser mayor de esta cantidad de entrada.Lo he devuelto y he probado con otro que parece que va a llevar el mismo camino por los mismos motivos.Resumiendo, parece que ante la alta demanda de este producto no se cuidan los niveles de calidad como con otros.Ojo avizor.",0,573
Se lo regalé a miHijo y está encantado con el buen funcionamiento del teléfono . Muy satisfecho !!!!!,0,101
"Mi iPhone se averió después de 9 meses, lo envié de vuelta al vendedor ecommunity que todavía no me ha reembolsado después de 1 mes y medio y es inaccesible... ¡Hay que huir!",0,174
En general estoy muy contento con la condición. La pantalla está impecable. Algunas marcas menores en la parte trasera y solo algunas marcas muy leves en el borde que están cubiertas por una funda. La batería está al 86% así que razonable. Envío rápido pero el empaque fue malo ya que el teléfono solo estaba envuelto en una capa de burbujas y estaba suelto en la caja.,0,369
"El producto es perfectamente conforme a lo esperado (está en muy buen estado). Funciona bien, la entrega fue rápida y el envío fue cuidadoso. No tengo nada que decir, lo recomiendo.",0,181
"""Corresponde exactamente a la descripción, estaba escéptico pero estoy contento, todo está bien.""",0,97
"Mis hijos encontraron que el teléfono era demasiado pequeño, por lo tanto lo devolvimos. Encontré que el estado de los teléfonos (3 unidades) era aceptable para el precio, un poco de daño en la pintura, pero la pantalla y la batería estaban en buen estado. Devolverlos y recibir el reembolso me preocupaba, pero todo se realizó sin problemas. Gracias por eso.",0,359
"Más contento no puedo estar, pensé que iba a llevarme una decepción, pero fue todo lo contrario. Estoy totalmente contento con el dispositivo que recibí, nada de trucos ( lo recibí tal cual se muestra en las fotos).Funciona todo perfectamente : WIFI, Bluetooth, Señal 5G en EU ( y recalco esto porque he visto comentarios que tuvieron problemas de cobertura ), cámaras, Face ID, micrófonos, altavoces, pantalla original, etc.Si pudiera ponerle alguna pega sería el tema del cable, ya que me pusieron uno genérico.Dispositivo y vendedor totalmente recomendado. Yo lo compré con la siguiente configuración:- Vendedor :  iMuda Investiments SL- Salud de la batería : 96%- Almacenamiento : 128 GB- Color : Blanco- Estado : Excelente",0,727
"Sin saber la razón de estar reacondicionado, el teléfono ha venido perfecto, sin marcas ni arañazos. La batería al 100%, como si fuera nueva. Enviado con cargador y cable.El único punto es que venía sin caja, únicamente con sobre de burbujas y para un teléfono de esta calidad es poco. Por otra parte, parece que calienta algo con el uso, que es bastante notable y molesto. Habrá que ver si es algo normal del terminal o porque es reacondicionado.Por lo demás, el Vendedor es en mi experiencia confiable. Eso si, debería mejorar algo la información sobre la entrega ya que, aún llegando antes de la fecha límite, no tenia información sobre el día final de entrega.",0,664
"El producto me llegó un día antes de lo previsto, en una caja de cartón bien conservado, con un cable y un clip para sacar la tarjeta SIM.Me llegó sin batería. El movil de aspecto está excelente, ningún rasguño, en perfecto estado. El problema es la batería. Me llegó con un 89% y estoy probando el móvil esta semana y no me dura mucho, y mira que lo estoy utilizando menos, casi me dura un día entero utilizándolo poco, siento que se descarga la batería muy rápido, es el único “PERO”, aunque por el precio y al ser reacondicionado es a lo que te expones, este móvil original podría llegar a los 900.Otro defecto que he encontrado es que en la parte inferior del movil, hay 5 agujeros a un alado y 3 al otro, pues por los otros tres no escucho nada, no sale sonido. Aún así es un problema menor porque se escucha de maravilla , aunque me molesta habiendo pagado por Excelente, no lo cambiaré porque saldría perdiendo, por tiempo y por dinero , y si me envían otro , igual me llega con otro desperfecto menor.La cámara espectacular y el modelo precioso.Volvería a comprar reacondicionado pero quizás con una batería nueva. Espero que haya servido de ayuda este comentario.",0,1172
"El teléfono esta perfecto, llegó sin un solo rasguño, la batería excelente, todo genial, excepto por que al tiempo de probar el teléfono, al no ser de región EU, casi nunca tengo cobertura y el vendedor al contactar con él solo me dijo que al haber pasado el mes de prueba no podía devolverlo y que eso no tiene problema a la hora de llamadas y cobertura por que está “comprobado”",0,380
"El movil está en muy buenas condiciones, en ajustes sale registrado como que se le ha cambiado la camara por una original de Apple, y la única pega es que viene con un 85% de batería, esperemos que aguante bien.",0,211
"Tenia un iPhone 12, ya que siempre me decanté por los modelos normales por el tamaño, peso, además que no uso mucho la cámara. Aunque esta vez decidí optar por este iPhone 13 Pro, definitivamente es un acierto, la tasa de refresco es una delicia, lo que más me sorprendió fue la batería, que si bien esta al 87% soporta un día completo. En el apartador estético llegó impoluto(a excepción por dos pequeñas marcas visibles en los laterales). iré actualizando el comentario.A más de una semana, me percaté que el teléfono era versión americana, curiosamente lo compré en un vendedor español, aunque el teléfono va de maravilla, los vídeos son excelentes y todo lo demás está perfecto, felicidades al vendedor",0,706
"He de decir que no estaba al 100% convencida de comprar un movil reacondicionado, me daba miedo a tener una mala experiencia.Pero la verdad que ha sido una muy buena decision, el telefono venia impecablemente limpio, y viendolo de muy cerca a penas consigo ver unos pequeños arañazos en la parte de arriba, realmente inapreciables.La bateria ha venido al 100%, lleva una pieza sustituida, y ha sido sustituida con una pieza original.Todo va perfecto.Intentando hacer una critica constructiva, solo dire que la presentacion del envoltorio no es la que te esperarias por un dispositivo como este, pero venia perfectamente protegido, con lo que no ha sido un problema.Lo que si querria comentar al vendedor, es que el envio tardo mas de una semana en llegar (mas de lo esperado)  y no dan el tracking number, creo que seria de ayuda para tranquilizar al comprador, compartir el tracking number.De todas formas, es una compra muy muy recomendable!!",0,944
"El estado era excelente, pero la batería se encontraba al 88%. Y el embalaje podía ser algo mejor…",0,98
"Teléfono perfecto, sin rayones y con la batería al 90%. ¡Mejor imposible!",0,73
El producto llegó antes de lo esperado y está en excelentes condiciones. La batería está al 100% y no tiene ningún arañazo. Excelente vendedor. Recomiendo adquirir la calidad excelente.,0,185
"Preso en buen estado, presenta pequeños arañazos en las esquinas inferiores y en el borde, pero me lo esperaba. La batería está al 88%, por lo que es excelente. Todo funciona perfectamente.",0,189
"He ordenado el teléfono en excelentes condiciones y debo decir que realmente llegó como nuevo, no tiene ni un solo arañazo y sobre todo el estado de la batería está al 100% y es original de Apple. Además, junto con el teléfono me han proporcionado de regalo un cargador de 20W. ¡Gracias!",0,287
"Recientemente compré un iPhone 13 Pro reacondicionado y, en general, puedo decir que el producto es excelente. Estéticamente era perfecto, sin rayones ni marcas visibles, y la batería estaba al 100%, lo cual es una gran ventaja para un dispositivo reacondicionado. Sin embargo, encontré algunos problemas funcionales significativos. El teléfono tiene frecuentes cierres inesperados, lo cual puede resultar bastante frustrante durante el uso diario. Además, el micrófono parece tener un problema: aun cuando mantengo el teléfono quieto, la persona al otro lado me escucha como si estuviera constantemente rozando el micrófono. Esto hace que las llamadas sean muy difíciles de manejar y puede causar malentendidos. Si estos problemas empeoran, podría considerar seriamente la opción de devolverlo. A pesar de que el iPhone 13 Pro es un excelente producto en sí mismo, estos defectos funcionales afectan negativamente la experiencia general.",0,938
"Aparentemente el teléfono estaba bien pero tardó una hora y media en sincronizarse con otro iPhone. Se apagaba cada dos por tres, no reconocía los datos y ponía en pantalla que no había datos y que cambiara de mobil. increible! En Amazon nos ponía entrega el 28 de febrero y al hacer el pago nos puso 29 de febrero. Contacté con la empresa a la que se le compró por mail porque no contestaban al teléfono y nunca contestaron al mail. Fatal.",0,440
"El móvil está impecable, precioso. Lo q no me ha gustado es q tiene 85% y la pantalla no es original, o eso es lo q dice la notificación. La batería dura, aún es el primer día, veamos cómo sigue",0,194
"Llegó antes de lo previsto, y en apariencia, practicamente como nuevo. De momento funciona todo perfecto. Bateria al 88%",0,120
Aspecto como nuevo y funciona bien.Buena compra.,0,48
"Móvil en perfecto funcionamiento, salvo que venía con muchos arañazos y lo compramos con garantía de en perfectas condiciones",0,125
"Parece que está en buen estado, pero finalmente no me ha convencido y he decidido devolverlo y comprar uno nuevo.",0,113
"En la descripción pone que estaba en muy buenas condiciones, y es verdad. Sacando que tenia unas marcas de uso en la tapa trasera, el resto está en perfectas condiciones. De momento muy contento con la compra. Casi 1 mes de uso.En principio ni la pantalla ni la batería fueron cambiadas, son las originales y están en perfectas condiciones.No uso el reconocimiento facial, no puedo opinar",0,388
"iPhone reacondicionado en excelente estado de funcionamiento, pantalla sin rayones como nueva, batería al 100%, solo ligeras marcas en la carcasa roja pero no es muy importante ya que utilizo una carcasa para protegerlo. Se incluye cargador y una carcasa transparente, además de un protector de pantalla. Recomiendo su compra.",0,326
"Me encanta este producto, estado perfecto. ¡Hay que ver a la larga porque lo acabo de recibir hoy!",0,98
Muy bien. Limpio y bien empaquetado. Muy bueno para ser reacondicionado.,0,72
"Hola Gérard, entiendo que has tenido un problema con la batería de un iPhone 11 comprado en abril de 2023 para tu hija y que ha surgido el mensaje de ""batería desconocida"" en agosto de 2023, es decir, 4 meses después. Has mencionado que cuenta con 1 año de garantía de ""Amazon renewed"", espero que no haya muchos problemas para repararlo con esta garantía, ya que de lo contrario será la primera y última vez que compre un producto reacondicionado aquí. Mantendré seguimiento sobre este asunto. Saludos cordiales.",0,513
"Ese, por otro lado, se reacondiciona con productos de Apple, gracias.",0,69
"Esta muy bien de todo, tanto de presencia como funcionamiento y a un precio muy razonable.",0,90
A ver es un ordenador básico para utilizar en casa bajar películas mandar correos y bueno lo normal la verdad que por ese precio no se puede pedir más con un Windows y con un disco duro SD SSD que más se puede pedir,0,215
"Me gusta el funcionamiento, cumple con mi espectativa. Y un año de garantía. El uso es de casa, no tengo edad para Los juegos. Un uso normal sin exigencias pero lo que importa, el trato y calidad precio, muy satisfecho.",0,219
"Esta como nuevo. Montar, actualizar y a funcionar. Muy contento con el, rapido y silencioso y ocupa poco espacio puesto de pie, por ponerle un par de pegas es que venia con polvo concentrado en las rejillas delanteras, las quite con un pincel y solucionado. Y otra pega es que segun Windows el i5 6500 no es compatible con su actualización a windows 11. Como esta en garantía y el uso va a ser doméstico no lo voy a intentar pero se puede hacer una instalación limpia con windows 11 descargado de su web.De momento muy contento con el pero eso solo el tiempo lo dira.",0,567
"El ordenador funciona de lujo y es una verdadera pasada, pero lo han pintado en spray y no han tapado bien las pegatinas para dejarlas limpias… ademas el precinto de garantía se veía manipulado y se podia abrir sin problema… pero bueno! Lo importante es que el ordenador va muy bien!",0,283
Para trabajos de ofimática va perfectamente. La SSD de 256G y los 16gb de RAM hacen que la velocidad sea óptimaProducto recomendable,0,132
"Cumple sobradamente las expectativas que me hice de este ordenador. Va sobrado para lo que necesitaba, que era la edición y navegar en internet.",0,144
"La computadora hace lo que debería. La condición es muy buena para ser usada. El ventilador es excepcionalmente silencioso, lo cual también fue un criterio de compra. Desinstalé Windows y instalé Ubuntu Server. Funciona perfectamente.",0,234
"El ordenador llegó defectuoso. Lo solucioné personalmente ya que no tenía ganas de activar el proceso de devolución. Después de eso, cumplió mis expectativas.",0,158
"La computadora fue entregada relativamente rápido, estaba adecuadamente preinstalada (según puedo juzgar) y hasta ahora funciona perfectamente. La relación calidad-precio es totalmente aceptable. Mi error: tuve que comprar un adaptador HP/HDMI para poder conectar el monitor.",0,275
"La relación calidad-precio es buena, es muy rápido y no hace ruido. Sin embargo, me sorprendió al encenderlo por primera vez que la instalación previa estaba en español.",0,169
"El teléfono funciona correctamente, tiene alguna marca de uso pero nada grave. Los accesorios no son los originales. El único defecto que tiene el teléfono es que la batería está a un 85 % exacto de su vida útil, y no más como se indicaba en el anuncio. Siendo un teléfono reacondicionado, ya se le podría haber cambiado la batería por una original o compatible, pero en buenas condiciones, ya que cuando la vida útil de la batería baje hasta el 82 %, el iPhone mostrar una notificación para qué se lleve a reparar a servicio técnico de Apple y cambiar la batería.Nadie quiere un teléfono que después de tres meses haya que enviar a repararlo.Pero el teléfono funciona bien",0,673
