reseñas_humanas,nombre_producto,categoria_producto,longitud,idioma_original,idioma,IA,tipo
"Este es un gran teléfono, llegó impecable... como nuevo. Un rendimiento brillante y la duración de la batería es genial hasta ahora. ¡Gracias!","        Apple iPhone 12, 128GB, Negro - (Reacondicionado)       ",Amazon Renewed,123,en,es,0,pequeña
Me llego en 4 dias impoluto con un 88% de salud de la bateria,"        Apple iPhone 13, 128GB, Azul - (Reacondicionado)       ",Amazon Renewed,61,es,es,0,pequeña
"Buenas a todos,Jamas os recomendaría comprar esta basura, me llego un movil en malas condiciones, la pantalla no funcionaba bien, la cámara no funcionaba, tenia que reiniciar para poder usar la camara para un par de fotos.Pero lo peor es cuando pides el reembolso, te engañan y te estafan diciendo que te van a devolver el 100% pero cuando llega el momento te devuelve una cantidad diferente, aparte de ser un engaño los móviles, te estafan con el dinero que te deben devolver.Claramente de esta decepcionante y mala experiencia, pienso denunciar a consumo a esta empresa, que se dedica a estafar y engañar a los clientes.","        Apple iPhone 13, 128GB, Azul - (Reacondicionado)       ",Amazon Renewed,622,es,es,0,grande
"Todo bien batería al 100% la única pega una pequeña raya en la pantalla ,ahora toca probarlo en el día a día","        Apple iPhone 13, 128GB, Azul - (Reacondicionado)       ",Amazon Renewed,108,es,es,0,pequeña
Producto impecable. Nadie lo ha usado antes,"        Apple iPhone 13, 128GB, Azul - (Reacondicionado)       ",Amazon Renewed,43,es,es,0,pequeña
"Sin arañazos, sin ralladuras, impoluto, salud de batería 95%. Una maravilla","        Apple iPhone 13, 128GB, Azul - (Reacondicionado)       ",Amazon Renewed,75,es,es,0,pequeña
"Después de 3 meses de uso, el móvil da un mensaje en el q dice ""pieza desconocida ...la batería puede no ser original"" y dejó de cargar literalmente","        Apple iPhone 13, 128GB, Azul - (Reacondicionado)       ",Amazon Renewed,148,es,es,0,mediana
"El teléfono viene fatal embalado suelto por la caja sin ningún tipo de protección. El estado era excelente (en el anuncio), viene con la pantalla arañada, salud de batería al 85%, y con cámara frontal y pantalla de pésima calidad que no se corresponden con el original, una vergüenza. Desaconsejo la compra completamente, es una estafa.","        Apple iPhone 13, 128GB, Azul - (Reacondicionado)       ",Amazon Renewed,336,es,es,0,grande
"El iPhone venía en perfectas condiciones, bien embalado, con cable y cargador. Batería al 95% de vida. Mejor de lo esperado. Gracias!","        Apple iPhone 13, 128GB, Azul - (Reacondicionado)       ",Amazon Renewed,133,es,es,0,mediana
"Producto entregado un día antes, en perfecto estado, batería al 99%, ¡fantástico!","        Apple iPhone 13, 128GB, Azul - (Reacondicionado)       ",Amazon Renewed,94,it,es,0,pequeña
"Teléfono prácticamente nuevo, batería al 94%. La pantalla ha sido reemplazada y el iPhone la reconoce como un componente no original, pero sin mayores problemas. Una excelente elección.","        Apple iPhone 13, 128GB, Azul - (Reacondicionado)       ",Amazon Renewed,148,it,es,0,mediana
"Quiero señalar que lo compré hace 6 meses y que al caer por primera vez con la funda, se rompió el cristal trasero a la altura del bolsillo del pantalón, lo cual es muy extraño ya que mis amigos con el mismo modelo me han confirmado que es muy resistente y que, a pesar de muchas caídas, nunca se les ha roto. Ahora, después de 6 meses sin ninguna caída o golpe, se ha roto la pantalla delantera y ya no se pueden hacer llamadas normales. Obviamente, el vendedor no quiere hacer valer la garantía de un año porque se cayó antes. Entonces, ¿si ya hubiera cambiado el vidrio trasero sin decir nada, la garantía seguiría siendo válida? No lo recomiendo en absoluto, es mejor pagar un poco más y comprar uno nuevo para asegurarse de que no están utilizando piezas no originales, como creo que es mi caso, y que la garantía sea real, no como esta donde cualquier rasguño puede hacerla caducar inmediatamente.","        Apple iPhone 13, 128GB, Azul - (Reacondicionado)       ",Amazon Renewed,841,it,es,0,grande
"El estado de la batería es más del 80% (89%), aunque se descarga rápidamente. En general, es un buen teléfono. Se sabe que con Apple se gasta mucho y se obtiene menos.","        Apple iPhone 13, 128GB, Azul - (Reacondicionado)       ",Amazon Renewed,133,it,es,0,mediana
"Teléfono sin un solo rasguño y batería al 87% de capacidad, para ser un reacondicionado no podría haber pedido algo mejor, incluso el color es precioso. De momento, muy satisfecho, en cualquier caso está garantizado por 1 año. 👍🏻😀","        Apple iPhone 13, 128GB, Azul - (Reacondicionado)       ",Amazon Renewed,206,it,es,0,mediana
"15 días de uso y va de maravilla. Para ser reacondicionado está en perfecto estado. Pantalla perfecta, sin ningún rasguño y con 83% de Salud de la batería.","        Apple iPhone 12 Pro, 128GB, Azul Pacifico - (Reacondicionado)       ",Amazon Renewed,155,es,es,0,mediana
"La cámara no funciona bien no enfoca cuando usas el zoom, creo que también tiene un problema en el Bluetooth debido a que a veces se conecta a la radio del coche pero no sale el sonido y a veces sí además cuando tienes muchas aplicaciones abiertas el teléfono deja de funcionar la pantalla táctil y hay que apagarlo para poder usarlo he llamado a Amazon me han puesto en contacto con la marca y no se ha llegado a ninguna solución debido A que vivo en Huesca y aquí no hay ningún reparador oficial tengo que mandarlo a Zaragoza y quedarme sin teléfono unos días","        Apple iPhone 12 Pro, 128GB, Azul Pacifico - (Reacondicionado)       ",Amazon Renewed,561,es,es,0,grande
"Reacondicionado etiquetado de “excelente”. El aspecto es de ser 100% nuevo. Ni a 30 cm ni con lupa a 3 cm es posible encontrarle imperfecciones. Funcionan bien todos los sensores, y también las cámaras, altavoz y micrófono. También el Face ID. Batería al 85%, por lo tanto, es más que probable que tenga todas sus piezas originales. El 3uTools así me lo confirma. Lo sabré a ciencia cierta cuando la renueve en Apple oficial (si encuentran alguna pieza no original, no te lo admiten, y además pagas el servicio por adelantado). No se le puede pedir más a un reacondicionado. Si fallara algo, editaré esta revisión, que estoy escribiendo con el propio iPhone 12 Pro una hora después de recibirlo, con las incomodidades propias de un usuario habitual de Android hasta ahora.A dos semanas de recibirlo estoy disfrutando de una muy buena experiencia, conociendo las virtudes del iOS, y las limitaciones del hardware de Apple respecto a mi Android, que perdono por su bajo precio como reacondicionado.A dos meses de usarlo: todo sigue perfectamente. Batería sigue al 85%. Sin duda alguna es un gran smartphone. Muy contento con la compra.","        Apple iPhone 12 Pro, 128GB, Azul Pacifico - (Reacondicionado)       ",Amazon Renewed,1133,es,es,0,grande
"El móvil está perfecto, batería al 95% pero la duración es algo insuficiente para todo el día.","        Apple iPhone 12 Pro, 128GB, Azul Pacifico - (Reacondicionado)       ",Amazon Renewed,94,es,es,0,pequeña
"El iPhone impecable y más barato que en otros lugares. Está nuevo solo que con otra caja.Lo único a criticar es que el cargador no funcionaba (pero tengamos en cuenta que por lo menos vino con uno, no como los de ahora que solo vienen con el cable) volvería a comprar reacondicionado sin problema. Compré el de condición excelente","        Apple iPhone 12 Pro, 128GB, Azul Pacifico - (Reacondicionado)       ",Amazon Renewed,330,es,es,0,grande
"Teléfono en buen estado, la pantalla no parece original pero funciona perfectamente y los colores y el brillo funcionan perfectamente.El pedido tenía que llegar entre el 19de abril o 22 de abril y llegó el 18 de abril.No me fiaba mucho por las malas reseñas del vendedor pero ha ido todo bien.El teléfono no es perfecto, pero es que no es nuevo y es reacondicionado.Era el iPhone más barato de internet no sólo de amazon","        Apple iPhone 12 Pro, 128GB, Azul Pacifico - (Reacondicionado)       ",Amazon Renewed,420,es,es,0,grande
"El teléfono presentaba algunas pequeñas picadas en la pantalla, y la batería al 85% (un uso de año y medio aprox), que para mí no representa la condición de ""Excelente"". Por lo demás está en perfecto estado.Algo caro para ser de segunda mano y en ese estado, pero al menos no da problemas.","        Apple iPhone 12 Pro, 128GB, Azul Pacifico - (Reacondicionado)       ",Amazon Renewed,289,es,es,0,grande
"iPhone reacondicionado como nuevo, el único inconveniente es que no cambian la batería de fábrica. Recibí el teléfono con una capacidad de batería del 89%. Teniendo en cuenta que Apple considera que la batería está muerta al 80%. No deja un margen muy grande, pero bueno, el teléfono funciona correctamente, tiene una autonomía adecuada.","        Apple iPhone 12 Pro, 128GB, Azul Pacifico - (Reacondicionado)       ",Amazon Renewed,347,fr,es,0,grande
"El artículo estaba muy bien embalado y fue enviado muy rápido al día siguiente, el teléfono en sí venía con una salud de batería del 100%, no tenía marcas o rayones visibles en ningún lugar, de hecho, literalmente parecía como si hubiera sido sacado de la caja y vuelto a empaquetar ¡fantástico! ¡Vale totalmente la pena el dinero, ya que la cámara es increíble y el color dorado es asombroso también! Lo recomendaría también para juegos móviles, ya que a mi hijo le gusta jugar Roblox y otros juegos de la App Store, aún funciona muy bien y tiene una mejor duración de la batería que un iPad, también lo recomendaría y tranquilizaría a aquellos que estén pensando en comprar teléfonos casi nuevos o refurbished, ¡seguro que volveré a usarlo en el futuro!","        Apple iPhone 12 Pro, 128GB, Azul Pacifico - (Reacondicionado)       ",Amazon Renewed,613,en,es,0,grande
"Me encanta todo acerca de este teléfono, que se veía como nuevo cuando fue entregado.","        Apple iPhone 12 Pro, 128GB, Azul Pacifico - (Reacondicionado)       ",Amazon Renewed,79,en,es,0,pequeña
"Buen ordenador, lo hemos comprado para el niño como regalo de comunión y de momento va muy bien.",        HP ELITEBOOK 840 G3 INTEL CORE I5-6200U 6ª GEN 2.3GHZ WEBCAM 16GB RAM 256GB SSD Windows 10 PRO 64BIT (Reacondicionado)       ,Amazon Renewed,96,es,es,0,pequeña
"Este producto procedente de Alemania, no cumple con las espectativas ni con las caracteristicas anunciadas.El vendedor garantiza que la bateria del portatil tiene una vida util del 80%, y oh sorpresa, la bateria está a cero y ni siquiera se carga. Aunque por suerte estos productos pueden devolverse, no se puede hacer perder el tiempo a la gente. Gestionando devoluciones innecesarias, y creando desconfianza en los productos reacondicionados.",        HP ELITEBOOK 840 G3 INTEL CORE I5-6200U 6ª GEN 2.3GHZ WEBCAM 16GB RAM 256GB SSD Windows 10 PRO 64BIT (Reacondicionado)       ,Amazon Renewed,444,es,es,0,grande
"El producto está en perfectas condiciones,  funcionamiento correcto, apariencia perfecta.  El envío rápido y ha venido muy bien protegido. Excelente y recomendable",        HP ELITEBOOK 840 G3 INTEL CORE I5-6200U 6ª GEN 2.3GHZ WEBCAM 16GB RAM 256GB SSD Windows 10 PRO 64BIT (Reacondicionado)       ,Amazon Renewed,163,es,es,0,mediana
Acaba de llegar y la verdad es que esteticamente esta casi perfecto. Arranca muy rapido y todo bien. A ver con el uso como va.,        HP ELITEBOOK 840 G3 INTEL CORE I5-6200U 6ª GEN 2.3GHZ WEBCAM 16GB RAM 256GB SSD Windows 10 PRO 64BIT (Reacondicionado)       ,Amazon Renewed,126,es,es,0,pequeña
"La verdad es que llevo tan solo un par de días con él pero ya tengo mis conclusiones y espero que a la larga vaya bien.En cuanto a rendimiento he de decir que va muy bien. Tenía un ordenador peor y necesitaba uno con bien de ram y algo más potente para poder usarlo con programas de diseño como Photoshop e Ilustrator de forma fluida así como compilar librerías con Visual Studio Code. Y todo muchas veces a la vez, con varias cosas abiertas, cosa que el otro no podía y con este lo estoy haciendo cómodamente.La batería me ha sorprendido muy gratamente porque el otro la tenía estropeada y tenía que tenerlo siempre enchufado, este aguante horas sin enchufar, lo que me da muchísima libertad.Lo que me hace bajarle la puntuación es el aspecto general:Al abrirlo ya no me ha gustado como estaba de rallado la tapa y la base; los tornillos están machacados de haberlo abierto varias veces y mal; tiene un golpe muy feo en el plástico junto a las teclas. Lo que hace que de ser un portátil muy chulo y de diseño, parezca que ha estado en una  guerra.Tampoco quiero ser excesivamente duro pero por ese precio hay el mismo ordenador pero mejor cuidado.Lo bueno es que lo necesito por el rendimiento más que por el aspecto y ese punto de momento va bien.A ver que tal va envejeciendo.",        HP ELITEBOOK 840 G3 INTEL CORE I5-6200U 6ª GEN 2.3GHZ WEBCAM 16GB RAM 256GB SSD Windows 10 PRO 64BIT (Reacondicionado)       ,Amazon Renewed,1279,es,es,0,grande
La compra cubrió mis expectativas. Buenas calidad y precio.,        HP ELITEBOOK 840 G3 INTEL CORE I5-6200U 6ª GEN 2.3GHZ WEBCAM 16GB RAM 256GB SSD Windows 10 PRO 64BIT (Reacondicionado)       ,Amazon Renewed,59,es,es,0,pequeña
"El ordenador funcional fenomenalmente. Viene incluso con algunos programas útiles y no presenta deterioro. El único pero es que en las características (antes de la compra) no se aclara las conexiones: si tiene hdmi, cuántos USB... Pero la relación calidad-precio es sin duda de cinco estrellas.",        HP ELITEBOOK 840 G3 INTEL CORE I5-6200U 6ª GEN 2.3GHZ WEBCAM 16GB RAM 256GB SSD Windows 10 PRO 64BIT (Reacondicionado)       ,Amazon Renewed,294,es,es,0,grande
"Me llegó perfectamente embalado con envío muy rápido, sin defectos estéticos, ningún problema, fácil de instalar, rápido y efectivo. Precio muy competitivo y que valió mucho la pena. Estoy muy contenta, recomiendo al 100%.No hay nada que no me haya gustado, estoy alucinando todavía por la maravillosa elección que he tenido al comprarlo.","        HP Elite 8300 - Ordenador de sobremesa (Intel Core i7-3770, 16GB de RAM, Disco SSD 240GB + 500GB HDD, Lector DVD, Windows 10 Pro ES 64) - Negro (Reacondicionado)       ",Amazon Renewed,338,es,es,0,grande
"El ordenador muy bueno y rápido, tiene 4 entradas USB 3.0 osea azules de alta velocidad y cuatro más negras que son 2.0 normales de todas las vida y dos más negras por la parte trasera también puedes conectarlo con VGA o Displaysport también trae una garantía de daños accidentales, el ordenador trae los componentes que dice en la descripción, un Intel Core i7 3770 16 de RAM memoria gráfica integrada y demás, estoy muy contento con el ordenador de los mejores ahora mismo en el mercado, me parece muy barato para lo que ofrece y lo recomiendo con el puedes hacer tus tareas y jugar muchísimos juegos de bajo recursos.","        HP Elite 8300 - Ordenador de sobremesa (Intel Core i7-3770, 16GB de RAM, Disco SSD 240GB + 500GB HDD, Lector DVD, Windows 10 Pro ES 64) - Negro (Reacondicionado)       ",Amazon Renewed,620,es,es,0,grande
"El equipo funciona muy bien, unas características muy buenas con un precio muy muy asequible.Lo único malo que es que los puertos USB que tiene delante son todos de velocidad  baja, de esta manera si se quiere conectar un disco duro de USB 3.0 habria que enchufarlo en la parte trasera para que Windows pueda leerlo.También tuve problemas con el transporte del equipo, me llegó el paquete con un golpe y eso se tradujo en que el equipo no arrancaba y no funcionaba, pero VorPC me ofreció una solución muy buena al problema y ahora disfruto del equipo sin problemas.","        HP Elite 8300 - Ordenador de sobremesa (Intel Core i7-3770, 16GB de RAM, Disco SSD 240GB + 500GB HDD, Lector DVD, Windows 10 Pro ES 64) - Negro (Reacondicionado)       ",Amazon Renewed,565,es,es,0,grande
"Ordenador como nuevo, prácticamente como salido de fábrica. Buen rendimiento y velocidad, y todo perfecto, solo enchufar y funcionando. Genial.","        HP Elite 8300 - Ordenador de sobremesa (Intel Core i7-3770, 16GB de RAM, Disco SSD 240GB + 500GB HDD, Lector DVD, Windows 10 Pro ES 64) - Negro (Reacondicionado)       ",Amazon Renewed,143,es,es,0,mediana
"Muy buen ordenador para trabajar.Core i7 3770 3ª generación. Rendimiento 7000 puntos en Passmark (a día de hoy); mi antiguo core 2 quad Q8400 no llegaba a 2000...Trae un montón de conexiones USB (2.0 y 3.0)Incorpora altavoces integrados que se oyen bastante bien.Lo mejor de todo:- Tiene 16 gb ram DDR3 dual channel.- Dos discos duros:  * 1 SSD SATA 3 ""go-infinity"" de 240 gB. Es un SSD normalito, da 500 mb/s reales en lectura secuencial, aunque es un poco lento en aleatoria 16 kB dando unos 100 mb/s.  * 1 HDD SATA 3 Toshiba de 500 gB, muy bueno.El SSD es nuevo (según el Speccy); el HDD no, pero tiene poco uso.- Tiene conexión VGA (además de HDMI y Displayport): genial porque puedo conectar directamente mi antiguo LCD HP L1908W que aún se ve estupendamente.- Conexiones PS2 (para ratones y teclados antiguos): pude aprovechar mi querido teclado!- Conexiones frontales para micrófono y auriculares.- Hace poco ruido.Rendimiento WEI en Windows 10 sobre 9,9 (puntuación máxima): la que podría ser perfectamente en un equipo más moderno:- Procesador y Memoria RAM: 8,9.- Gráficos de escritorio: 6,8.- Gráficos para juegos: 9,9.- Disco duro SSD: 7,65.En definitiva: una compra más que recomendable si buscas un equipo para trabajar.","        HP Elite 8300 - Ordenador de sobremesa (Intel Core i7-3770, 16GB de RAM, Disco SSD 240GB + 500GB HDD, Lector DVD, Windows 10 Pro ES 64) - Negro (Reacondicionado)       ",Amazon Renewed,1234,es,es,0,grande
"""Mejor de lo que imaginaba. Curioso por ver el interior, impecable por el precio. Habrá que ver con el tiempo. Pequeño inconveniente con la entrega de Chronopost. Un agradecimiento a Simon de Cyberman.""","        HP Elite 8300 - Ordenador de sobremesa (Intel Core i7-3770, 16GB de RAM, Disco SSD 240GB + 500GB HDD, Lector DVD, Windows 10 Pro ES 64) - Negro (Reacondicionado)       ",Amazon Renewed,191,fr,es,0,mediana
"El texto que ingresaste parece tener errores o estar incompleto. Por favor, proporcióname más contexto o información para poder brindarte una traducción precisa al español. ¡Estoy aquí para ayudarte!","        HP Elite 8300 - Ordenador de sobremesa (Intel Core i7-3770, 16GB de RAM, Disco SSD 240GB + 500GB HDD, Lector DVD, Windows 10 Pro ES 64) - Negro (Reacondicionado)       ",Amazon Renewed,94,nl,es,0,pequeña
"Tan contento con mi primera compra que después de unos pocos días compré otra. Algunos días antes compré un i5 y, al ver que funcionaba perfectamente, opté por otro PC, un i7, fantástico, muy rápido, silencioso y perfecto para el trabajo que debo realizar. Es una maravilla. ¡Lo recomiendo al 100%!","        HP Elite 8300 - Ordenador de sobremesa (Intel Core i7-3770, 16GB de RAM, Disco SSD 240GB + 500GB HDD, Lector DVD, Windows 10 Pro ES 64) - Negro (Reacondicionado)       ",Amazon Renewed,302,it,es,0,grande
"Entrega, embalaje bien. El dispositivo cumple con la descripción. ¡Feliz de volver a comprar!","        HP Elite 8300 - Ordenador de sobremesa (Intel Core i7-3770, 16GB de RAM, Disco SSD 240GB + 500GB HDD, Lector DVD, Windows 10 Pro ES 64) - Negro (Reacondicionado)       ",Amazon Renewed,76,de,es,0,pequeña
"Es la primera vez que compro un reacondicionado, tenía mis dudas por comentarios que he leído sobre lo que para algunos vendedores es excelente. En mi caso el teléfono ha venido sin ni un rasguño o marcas de desgaste. La batería con un 86% de salud bien, era otro de los puntos que me preocupaba. El envío rápido desde Italia y la garantía de renew de Amazon con 1 año. Veremos cómo pasa el tiempo.","        Apple iPhone 12 Mini, 64GB, Negro - (Reacondicionado)       ",Amazon Renewed,398,es,es,0,grande
"Esto es una tomadura de pelo. Llevo usando el teléfono durante 8 meses, sé perfectamente cómo funcionaba cuando lo recibí y cuál ha sido su comportamiento en los últimos meses. ¿Cómo voy a tener pruebas de que se apaga a las 6 horas de desconectarlo del cargador con la batería completa? ¿Lo grabo durante 5 horas a ver cuando se apaga? Simplemente lo saco del bolsillo y veo que está apagado. Intento encenderlo y no enciende y hasta que no vuelvo a casa y lo conecto al cargador no se puede volver a encender.","        Apple iPhone 12 Mini, 64GB, Negro - (Reacondicionado)       ",Amazon Renewed,511,es,es,0,grande
Bueno leí muchos comentarios malos pero bueno yo pedí un iPhone 12 mini en excelente condiciones y me vino 9/10 y con 96% y todo bien no tengo problema y bueno nada más que no viene caja y cargador original. Pero para mí 9/10 todo.,"        Apple iPhone 12 Mini, 64GB, Negro - (Reacondicionado)       ",Amazon Renewed,231,es,es,0,mediana
"iPhone 12 miniDe momento el móvil funciona muy bien.Me vino la batería al 90% de capacidad.Exteriorimente se ve muy bien. Solo tiene un pequeño rasguño en un borde apenas apreciable.Mi consejo: OJO AL VENDEDOR, mirad las valoraciones del vendedor. Hay algunos con muy malas. Yo lo compré en concreto a uno con buenas valoraciones y que además Amazon te garantiza 365 días para devolverlo, otros vendedores no tienen esa garantía de Amazon.","        Apple iPhone 12 Mini, 64GB, Negro - (Reacondicionado)       ",Amazon Renewed,439,es,es,0,grande
"Pedí al vendedor que estuviera bien de pantalla y batería, la pantalla tiene defectos y la batería al 82%... hay que cambiarla ya. Por 319 euros no veo buen precio","        Apple iPhone 12 Mini, 64GB, Negro - (Reacondicionado)       ",Amazon Renewed,163,es,es,0,mediana
"Compré este iphone 12 mini para mi hija y tirando la casa por la ventana me decidí por uno en estado ""Excelente"".En otros productos, el estado ""Bueno"" ya es una garantía.Sin embargo, el iphone que recibí tenía desperfectos en varios sitios del lateral y la bateria llegaba a un 80%, aunque se supone que debe ser mayor de esta cantidad de entrada.Lo he devuelto y he probado con otro que parece que va a llevar el mismo camino por los mismos motivos.Resumiendo, parece que ante la alta demanda de este producto no se cuidan los niveles de calidad como con otros.Ojo avizor.","        Apple iPhone 12 Mini, 64GB, Negro - (Reacondicionado)       ",Amazon Renewed,573,es,es,0,grande
Se lo regalé a miHijo y está encantado con el buen funcionamiento del teléfono . Muy satisfecho !!!!!,"        Apple iPhone 12 Mini, 64GB, Negro - (Reacondicionado)       ",Amazon Renewed,101,es,es,0,pequeña
"Mi iPhone se averió después de 9 meses, lo envié de vuelta al vendedor ecommunity que todavía no me ha reembolsado después de 1 mes y medio y es inaccesible... ¡Hay que huir!","        Apple iPhone 12 Mini, 64GB, Negro - (Reacondicionado)       ",Amazon Renewed,170,fr,es,0,mediana
En general estoy muy contento con la condición. La pantalla está impecable. Algunas marcas menores en la parte trasera y solo algunas marcas muy leves en el borde que están cubiertas por una funda. La batería está al 86% así que razonable. Envío rápido pero el empaque fue malo ya que el teléfono solo estaba envuelto en una capa de burbujas y estaba suelto en la caja.,"        Apple iPhone 12 Mini, 64GB, Negro - (Reacondicionado)       ",Amazon Renewed,328,en,es,0,grande
"El producto es perfectamente conforme a lo esperado (está en muy buen estado). Funciona bien, la entrega fue rápida y el envío fue cuidadoso. No tengo nada que decir, lo recomiendo.","        Apple iPhone 12 Mini, 64GB, Negro - (Reacondicionado)       ",Amazon Renewed,164,fr,es,0,mediana
"""Corresponde exactamente a la descripción, estaba escéptico pero estoy contento, todo está bien.""","        Apple iPhone 12 Mini, 64GB, Negro - (Reacondicionado)       ",Amazon Renewed,86,fr,es,0,pequeña
"Mis hijos encontraron que el teléfono era demasiado pequeño, por lo tanto lo devolvimos. Encontré que el estado de los teléfonos (3 unidades) era aceptable para el precio, un poco de daño en la pintura, pero la pantalla y la batería estaban en buen estado. Devolverlos y recibir el reembolso me preocupaba, pero todo se realizó sin problemas. Gracias por eso.","        Apple iPhone 12 Mini, 64GB, Negro - (Reacondicionado)       ",Amazon Renewed,278,nl,es,0,mediana
"Más contento no puedo estar, pensé que iba a llevarme una decepción, pero fue todo lo contrario. Estoy totalmente contento con el dispositivo que recibí, nada de trucos ( lo recibí tal cual se muestra en las fotos).Funciona todo perfectamente : WIFI, Bluetooth, Señal 5G en EU ( y recalco esto porque he visto comentarios que tuvieron problemas de cobertura ), cámaras, Face ID, micrófonos, altavoces, pantalla original, etc.Si pudiera ponerle alguna pega sería el tema del cable, ya que me pusieron uno genérico.Dispositivo y vendedor totalmente recomendado. Yo lo compré con la siguiente configuración:- Vendedor :  iMuda Investiments SL- Salud de la batería : 96%- Almacenamiento : 128 GB- Color : Blanco- Estado : Excelente","        Apple iPhone 13 Pro, 128GB, Azul Alpino - (Reacondicionado)       ",Amazon Renewed,727,es,es,0,grande
"Sin saber la razón de estar reacondicionado, el teléfono ha venido perfecto, sin marcas ni arañazos. La batería al 100%, como si fuera nueva. Enviado con cargador y cable.El único punto es que venía sin caja, únicamente con sobre de burbujas y para un teléfono de esta calidad es poco. Por otra parte, parece que calienta algo con el uso, que es bastante notable y molesto. Habrá que ver si es algo normal del terminal o porque es reacondicionado.Por lo demás, el Vendedor es en mi experiencia confiable. Eso si, debería mejorar algo la información sobre la entrega ya que, aún llegando antes de la fecha límite, no tenia información sobre el día final de entrega.","        Apple iPhone 13 Pro, 128GB, Azul Alpino - (Reacondicionado)       ",Amazon Renewed,664,es,es,0,grande
